"filename", "language", "JSON", "C#", "comment", "blank", "total"
"d:\MakeGames\GameProject\ori\mod_source\recipes\cooking\deep-frying\roast_scallion.json", "JSON", 15, 0, 0, 0, 15
"d:\MakeGames\GameProject\ori\mod_source\recipes\cooking\dog_tail_grass_noodles.json", "JSON", 14, 0, 0, 0, 14
"d:\MakeGames\GameProject\ori\mod_source\recipes\cooking\duck_soup.json", "JSON", 14, 0, 0, 0, 14
"d:\MakeGames\GameProject\ori\mod_source\recipes\cooking\egg_drop_soup.json", "JSON", 16, 0, 0, 0, 16
"d:\MakeGames\GameProject\ori\mod_source\recipes\cooking\green_dumpling.json", "JSON", 14, 0, 0, 0, 14
"d:\MakeGames\GameProject\ori\mod_source\recipes\cooking\pig_soup.json", "JSON", 14, 0, 0, 0, 14
"d:\MakeGames\GameProject\ori\mod_source\recipes\cooking\potato_cake.json", "JSON", 14, 0, 0, 0, 14
"d:\MakeGames\GameProject\ori\mod_source\recipes\cooking\poultry_soup.json", "JSON", 16, 0, 0, 0, 16
"d:\MakeGames\GameProject\ori\mod_source\recipes\cooking\strange_dish.json", "JSON", 14, 0, 0, 0, 14
"d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\acacia\planks.json", "JSON", 15, 0, 0, 0, 15
"d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\banyan\planks.json", "JSON", 15, 0, 0, 0, 15
"d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\bark.json", "JSON", 16, 0, 0, 0, 16
"d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\bark_vest.json", "JSON", 15, 0, 0, 0, 15
"d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\barrel.json", "JSON", 18, 0, 0, 0, 18
"d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\bottle.json", "JSON", 14, 0, 0, 0, 14
"d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\campfire.json", "JSON", 20, 0, 0, 0, 20
"d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\clay_furnace.json", "JSON", 15, 0, 0, 0, 15
"d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\feather_wing.json", "JSON", 17, 0, 0, 0, 17
"d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\flint\flint.json", "JSON", 15, 0, 0, 0, 15
"d:\MakeGames\GameProject\ori\mod_source\recipes\crafting\flint\hoe.json", "JSON", 24, 0, 0, 0, 24
